sku,name,category_id,uom_id,auto_reorder,lead_time,reorder_level,remark,quantity_to_reorder,status,price,VendorIDs,warehouses
D1DRILLBIT6.8MM,DRILL BIT PROJOBBER HSS 6.8MM,ZZZ,PC,0,,0.0000,,0.0000,0,3.80000000,A0010,GRN-3-D1DRILLBIT6.8MM--------------------
D1DRILLBIT6MM,DRILL BIT PROJOBBER 6MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT6MM--------------------
D1DRILLBIT8.0MM,DRILL BIT PROJOBBER 8.0MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT8.0MM--------------------
D1DRILLBIT8.5MM,DRILL BIT PROJOBBER 8.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT8.5MM--------------------
D1DRILLBIT9.5MM,DRILL BIT 9.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,6.40000000,A0010,GRN-3-D1DRILLBIT9.5MM--------------------
D1DRILLBIT9MM,DRILL BIT PROJOBBER 9MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT9MM--------------------
DBDRBI-19.5,DRILL BIT PROJOBBER 19.5MM,ZZ0,PC,0,,0.0000,,0.0000,1,23.40000000,A0010,GRN-1-DBDRBI-19.5----------ST----------1.0000
DBDRBIHSS-6.8,DORMER HSS DRILL BIT - 6.8MM,ZZ0,PC,0,,0.0000,,0.0000,1,9.60000000,A0010,GRN-1-DBDRBIHSS-6.8----------ST----------0.0000
DCDRCHKELE-3-16MM,3-16MM KEY LESS DRILL CHUCK FOR DRILL PRESS MACHINE-BRAND KOYO MODEL :ZJQ4120,ZZ0,PC,0,,0.0000,,0.0000,1,60.00000000,A0010,GRN-1-DCDRCHKELE-3-16MM----------ST----------0.0000
DESDS-CRC,SMOKE DETECTOR TESTER – CRC 70ML (SPRAY CAN),ZZ0,CAN,0,,0.0000,,0.0000,1,50.00000000,A0010,GRN-1-DESDS-CRC----------ST----------0.0000
DIDRILLBIT13MM,PROJOBBER DRILL BIT 13MM,ZZZ,PC,0,,0.0000,,0.0000,0,12.80000000,A0010,GRN-3-DIDRILLBIT13MM--------------------
DIDRILLBIT3.3MM,PROJOBBER DRILL BIT 3.30MM,ZZZ,PC,0,,0.0000,,0.0000,0,1.80000000,A0010,GRN-3-DIDRILLBIT3.3MM--------------------
EDANGR-S1MFF100A-6-41,ANGLE GRINDER S1M-FF-100A PART NO: 6 & 41 GEAR SET,ZZ0,PC,0,,0.0000,,0.0000,1,20.00000000,A0010,GRN-1-EDANGR-S1MFF100A-6-41----------ST----------0.0000
EDANGR-S1MFF100A-COIL,ANGLE GRINDER S1M-FF-100A  COIL  PART NO : 14,ZZ0,PC,0,,0.0000,,0.0000,1,14.00000000,A0010,GRN-1-EDANGR-S1MFF100A-COIL----------ST----------0.0000
EDBID-GMB10RE,IMPACT DRILL ( MODEL : BOSCH GBM10RE ),ZZ0,PC,0,,0.0000,,0.0000,1,140.00000000,A0010,GRN-1-EDBID-GMB10RE----------ST----------0.0000
EDCHBL-0.5TON,TOYO CHAIN BLOCK 0.5TON X 2.5MTR,ZZ0,UNIT,0,,0.0000,,0.0000,1,124.00000000,A0010,GRN-1-EDCHBL-0.5TON----------ST----------0.0000
EDDC-JIZFF100A-11,ELECTRIC GRINDER S1M-FF-100A PART NO: 11 ARMATURE SET (DONG CHENG),ZZ0,PC,0,,0.0000,,0.0000,1,36.00000000,A0010,GRN-1-EDDC-JIZFF100A-11----------ST----------0.0000
EDDC-JIZFF100A-9,ELECTRIC GRINDER S1M-FF-100A PART NO: 6 & 41  GEAR SET (DONG CHENG),ZZ0,PC,0,,0.0000,,0.0000,1,20.00000000,A0010,GRN-1-EDDC-JIZFF100A-9----------ST----------0.0000
EDDRCH-J1Z-FF-10A-ARM,ELECTRIC DRILL ARMATURE – (J1Z-FF-10A) – 14,ZZ0,PC,0,,0.0000,,0.0000,1,16.00000000,A0010,GRN-1-EDDRCH-J1Z-FF-10A-ARM----------ST----------0.0000
EDDRCH-J1Z-FF-10A-CHECK,ELECTRIC DRILL CHECK – (J1Z-FF-10A) – 11,ZZ0,PC,0,,0.0000,,0.0000,1,10.00000000,A0010,GRN-1-EDDRCH-J1Z-FF-10A-CHECK----------ST----------0.0000
EDDRCH-J1Z-FF-10A-CLIP,ELECTRIC DRILL  CLIPS ( SELF CLIP)  – (J1Z-FF-10A),ZZ0,PC,0,,0.0000,,0.0000,1,1.00000000,A0010,GRN-1-EDDRCH-J1Z-FF-10A-CLIP----------ST----------0.0000
EDDRCH-J1Z-FF-10A-SHAFT,ELECTRIC DRILL WOOD ERUFF KEY (P/N: 8) – (J1Z-FF-10A),ZZ0,PC,0,,0.0000,,0.0000,1,4.00000000,A0010,GRN-1-EDDRCH-J1Z-FF-10A-SHAFT----------ST----------0.0000
EDDRCH-J1Z-FF-10A-SWITCH,ELECTRIC DRILL SWITCH – (J1Z-FF-10A),ZZ0,PC,0,,0.0000,,0.0000,1,10.00000000,A0010,GRN-1-EDDRCH-J1Z-FF-10A-SWITCH----------ST----------0.0000
EDDRCH-J1Z-FF-10A-TRIG,ELECTRIC DRILL ON/OFF SWICH TRIGGER – (J1Z-FF-10A),ZZ0,PC,0,,0.0000,,0.0000,1,20.00000000,A0010,GRN-1-EDDRCH-J1Z-FF-10A-TRIG----------ST----------0.0000
EDDRPRMA-ZJQ4120,DRILL PRESS MACHINE – BRAND KOYO MODEL: ZJQ4120,ZZ0,UNIT,0,,0.0000,,0.0000,1,420.00000000,A0010,GRN-1-EDDRPRMA-ZJQ4120----------ST----------0.0000
EDHIMISA-C15FB-36,HITACHI MITER SAW MODEL C15FB P/N:36 ARMATURE ASSY 220V-230V,ZZ0,PC,0,,0.0000,,0.0000,1,376.00000000,A0010,GRN-1-EDHIMISA-C15FB-36----------ST----------0.0000
EDHIMISA-C15FB-46A,HITACHI MITER SAW MODEL C15FB P/N:46A C/N:340-198H S015 STATOR COIL  ASSY 220V-230V,ZZ0,PC,0,,0.0000,,0.0000,1,70.00000000,A0010,GRN-1-EDHIMISA-C15FB-46A----------ST----------0.0000
EDIMDRBO-GBM350RE-AMA,IMPACT DRILL PART : ARMATURE ( MODEL:BOSCH GBM350E),ZZ0,PC,0,,0.0000,,0.0000,1,63.00000000,A0010,GRN-1-EDIMDRBO-GBM350RE-AMA----------ST----------0.0000
EDIMDRBO-GBM350RE-GEAR,IMPACT DRILL PART : GEAR PROFESSIONAL ( MODEL:BOSCH GBM350E),ZZ0,SET,0,,0.0000,,0.0000,1,26.20000000,A0010,GRN-1-EDIMDRBO-GBM350RE-GEAR----------ST----------0.0000
EDKDE6000T-AVR,ELECTRONIC COMPONENTS FOR DIESEL GENERATOR KDE6000T-AVR FOR KDE6500T,ZZ0,PC,0,,0.0000,,0.0000,1,190.00000000,A0010,GRN-1-EDKDE6000T-AVR----------ST----------0.0000
EDMADR-AO3001-AMA,MOTOR HOUSING ARMATURE COIL FOR AO3001 MAGNETIC DRILL,ZZ0,SET,0,,0.0000,,0.0000,1,300.00000000,A0010,GRN-1-EDMADR-AO3001-AMA----------ST----------0.0000
EDMADR-MDBRM35,MAGNETIC DRILL MACHINE 12-35MM / 1200W BRAND: TYPHOON MODEL: MD-BRM35,ZZ0,PC,0,,0.0000,,0.0000,1,825.00000000,A0010,GRN-1-EDMADR-MDBRM35----------ST----------0.0000
EDMASTGR-1040-AMA,MAKITAV LS 1040 – ARMATURE,ZZ0,PC,0,,0.0000,,0.0000,1,36.00000000,A0010,GRN-1-EDMASTGR-1040-AMA----------ST----------0.0000
EDMISA-LS1040,MAKITA MITRE SAW LS1040,ZZ0,PC,0,,0.0000,,0.0000,1,586.25000000,A0010,GRN-1-EDMISA-LS1040----------ST----------0.0000
EDMOGE-BN10VA,GEAR SET – DC DRILL BN10VA  (MOSTA),ZZ0,PC,0,,0.0000,,0.0000,1,26.00000000,A0010,GRN-1-EDMOGE-BN10VA----------ST----------0.0000
EDPLTR-550-3000,AIKO PALLET TRUCK 550 – 3000TON 1150 S/NYLON,ZZ0,UNIT,0,,0.0000,,0.0000,1,490.00000000,A0010,GRN-1-EDPLTR-550-3000----------ST----------0.0000
EDPLTR-685-1220,AIKO PALLET TRUCK 685 - 1220TON D/PU,ZZ0,UNIT,0,,0.0000,,0.0000,1,490.00000000,A0010,GRN-1-EDPLTR-685-1220----------ST----------0.0000
EDPPC110E-11,PRESSURE PUMP C-110C POS.11 PART NO.700060106 O-RING 2.62XDIA18.72,ZZ0,PC,0,,0.0000,,0.0000,1,0.90000000,A0010,GRN-1-EDPPC110E-11----------ST----------0.0000
EDPPC110E-12,PRESSURE PUMP C-110C POS.12 PART NO.700360410 VALVE ASSEMBLY COMPLETE,ZZ0,PC,0,,0.0000,,0.0000,1,17.00000000,A0010,GRN-1-EDPPC110E-12----------ST----------0.0000
EDPPC110E-13,PRESSURE PUMP C-110C POS.13 PART NO.700060105 O-RING,ZZ0,PC,0,,0.0000,,0.0000,1,0.90000000,A0010,GRN-1-EDPPC110E-13----------ST----------0.0000
EDPPC110E-3,PRESSURE PUMP C-110C POS.3 PART NO. 700060107 O-RING 1.78XDIA31.47,ZZ0,PC,0,,0.0000,,0.0000,1,1.30000000,A0010,GRN-1-EDPPC110E-3----------ST----------0.0000
EDPPC110E-5,PRESSURE PUMP C-110C POS.5 PART NO.700060204 V SEAL DIA 18/30MM,ZZ0,PC,0,,0.0000,,0.0000,1,35.00000000,A0010,GRN-1-EDPPC110E-5----------ST----------0.0000
EDPPC110E-6,PRESSURE PUMP C-110C POS.6 PART NO.700030007 SUPPORT RING DIA 18/30MM,ZZ0,PC,0,,0.0000,,0.0000,1,2.20000000,A0010,GRN-1-EDPPC110E-6----------ST----------0.0000
EDPPC110E-9,PRESSURE PUMP C-110C POS.9 PART NO.700060306 WASHER 3/8” COPPER,ZZ0,PC,0,,0.0000,,0.0000,1,1.90000000,A0010,GRN-1-EDPPC110E-9----------ST----------0.0000
EDPPHOSEC170E-3/8,"Hight pressure hose 3/8"" R2T 8 M length Model C-170E , part no.700550079. for pressure pump",ZZ0,PC,0,,0.0000,,0.0000,1,176.00000000,A0010,GRN-1-EDPPHOSEC170E-3/8----------ST----------0.0000
EDWEMATIG-300A,RILAND TIG -300A DOWN SLOPE & POST FLOW WELDING MACHINE WITH 4M TIG-26,ZZ0,UNIT,0,,0.0000,,0.0000,1,975.00000000,A0010,GRN-1-EDWEMATIG-300A----------ST----------0.0000
ESG-540193,PRESSURE GAUGE ( 540193 ),ZZ0,PC,0,,0.0000,,0.0000,1,48.00000000,A0010,GRN-1-ESG-540193----------ST----------0.0000
FDDEFI-7500,DIESEL FILTER FOR HYUNDAI DHY7500SE,ZZ0,PC,0,,0.0000,,0.0000,1,10.00000000,A0010,GRN-1-FDDEFI-7500----------ST----------0.0000
GEDEGE-DHY7500SE,DIESEL GENERATOR MODEL DHY7500SE 5KVA-5.5KVA(SILENT TYPE),ZZ0,UNIT,0,,0.0000,,0.0000,1,2100.00000000,A0010,GRN-1-GEDEGE-DHY7500SE----------ST----------0.0000
HBBASABL-18TX1/2X58,BANDSAW BLADE (TOPLINE BANDSAW MODEL:MBS150B)TYPE:18T X 1/2” X 58” (CIRCUMFERENCE),ZZ0,PC,0,,0.0000,,0.0000,1,40.00000000,A0010,GRN-1-HBBASABL-18TX1/2X58----------ST----------0.0000
HOLE SAW 32MM,SHINTO HOLE SAW 32MM,ZZZ,PC,0,,0.0000,,0.0000,0,103.00000000,A0010,GRN-3-HOLE SAW 32MM--------------------
IARILIN-TIG200A,RILAND TIG200A (PLASTIC)2T/4T INVERTER WITH 4M TIG-26,ZZ0,UNIT,0,,0.0000,,0.0000,1,675.00000000,A0010,GRN-1-IARILIN-TIG200A----------WD----------0.0000
M8-S.P-M6X1.0,MACHINE TAP M6 X 1.0,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-M8-S.P-M6X1.0--------------------
MDREMO-37KW-230V,TO REWIND 0.37KW 230V MOTOR,ZZ0,PC,0,,0.0000,,0.0000,1,236.25000000,A0010,GRN-1-MDREMO-37KW-230V----------ST----------0.0000
MRU-00039,BYPASS VALVE BLUELINE (700540989),MISC,PC,0,,0.0000,,0.0000,1,136.00000000,A0010,GRN-1-MRU-00039----------ST----------0.0000
PCQUEXPA-3TON,ALTECO 3-TON QUICK EPOXY A+B,ZZ0,PC,0,,0.0000,,0.0000,1,340.00000000,A0010,GRN-1-PCQUEXPA-3TON----------ST----------0.0000
PICOPU-415V,ISHAN COOLANT PUMP 1/8HP 415V 125MM HEIGHT,ZZ0,UNIT,0,,0.0000,,0.0000,1,315.00000000,A0010,GRN-1-PICOPU-415V----------ST----------0.0000
STARTER-7500,STARTER 7500SE HYUNDAI,ZZ0,PC,0,,0.0000,,0.0000,1,219.00000000,A0010,GRN-1-STARTER-7500----------ST----------0.0000
T2-BOTH OPEN 12-14,BOTH OPEN SAPANNER (UNION) SIZE 12-14,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-BOTH OPEN 12-14--------------------
T2-BOTH OPEN 24-27,BOTH OPEN SPANNER (UNION) SIZE 24-27,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-BOTH OPEN 24-27--------------------
T2-COMMON RING - 11,COMMON RING SPANNER (UNION) SIZE 11,ZZZ,PC,0,,0.0000,,0.0000,0,10.40000000,A0010,GRN-3-T2-COMMON RING - 11--------------------
T2-COMMON RING -7,"COMMON RING SPANNER (UNION) SIZE 7""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING -7--------------------
"T2-COMMON RING 1-1/16""","UNION COMMON RING SPANNER 1-1/16""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,"GRN-3-T2-COMMON RING 1-1/16""--------------------"
"T2-COMMON RING-1""","COMMON RING SPANNER (UNION) SIZE 1""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,"GRN-3-T2-COMMON RING-1""--------------------"
T2-COMMON RING-10,"COMMON RING SPANNER (UNION) SIZE 10""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-10--------------------
T2-COMMON RING-12,COMMON RING SPANNER (UNION) SIZE 12,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-12--------------------
T2-COMMON RING-13,COMMON RING SPANNER (UNION) SIZE 13,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-13--------------------
T2-COMMON RING-14,COMMON RING SPANNER (UNION) SIZE 14,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-14--------------------
T2-COMMON RING-15,COMMON RING SPANNER (UNION) SIZE 15,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-15--------------------
"T2-COMMON RING-15/16""","COMMON RING SPANNER (UNION) SIZE: 15/16""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,"GRN-3-T2-COMMON RING-15/16""--------------------"
T2-COMMON RING-16,COMMON RING SPANNER (UNION) SIZE 16,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-16--------------------
T2-COMMON RING-17,COMMON RING SPANNER (UNION) SIZE 17,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-17--------------------
T2-COMMON RING-18,UNION COMMON RING SPANNER 18MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-18--------------------
T2-COMMON RING-19,"COMMON RING SPANNER (UNION) SIZE 19""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-19--------------------
T2-COMMON RING-20,COMMON RING SPANNER (UNION) SIZE 20,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-20--------------------
T2-COMMON RING-21,UNION COMMON RING SPANNER 21MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-21--------------------
T2-COMMON RING-22,COMMON RING SPANNER (UNION) SIZE 22,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-22--------------------
T2-COMMON RING-23,"COMMON RING SPANNER (UNION) SIZE 23""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-23--------------------
T2-COMMON RING-8,COMMON RING SPANNER (UNION) SIZE 8,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-8--------------------
T2-COMMON RING-9,"COMMON RING SPANNER (UNION) SIZE 9""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-COMMON RING-9--------------------
"T2-COMMON RING-9/16""","COMMON RING SPANNER (UNION) SIZE 9/16""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,"GRN-3-T2-COMMON RING-9/16""--------------------"
"T2-COMMONRING-1-1/8""","COMMON RING SPANNER (UNION) SIZE : 1-1/8""",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,"GRN-3-T2-COMMONRING-1-1/8""--------------------"
T2-ELORA BOTH OPEN 3/4 X 7/8,"3/4"" X 7/8"" ELORA BOTH OPEN END SPANNER",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-ELORA BOTH OPEN 3/4 X 7/8--------------------
"T2-PLIER-10""","10"" STRAIGHT TYPE GRIP PLIER (BRAND - VISE GRIP)",ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,"GRN-3-T2-PLIER-10""--------------------"
T2-STRIPER,WIRE STRIPER - BRAND LOBSTER,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-T2-STRIPER--------------------
TBBN10SA,MOSTA CORDLESS DRIVER DRILL 7.2-9.6V(RED) BN10SA,ZZ0,PC,0,,0.0000,,0.0000,1,120.00000000,A0010,GRN-1-TBBN10SA----------ST----------0.0000
TBBOSPANNER-8-9,BOX SPANNER 8 & 9 (3/8” SQ DRIVE),ZZ0,PC,0,,0.0000,,0.0000,1,2.70000000,A0010,GRN-1-TBBOSPANNER-8-9----------ST----------0.0000
TBEIHEKEY-4MM,EIGHT T HEX KEY 4MM,ZZ0,PC,0,,0.0000,,0.0000,1,11.00000000,A0010,GRN-1-TBEIHEKEY-4MM----------ST----------0.0000
TBGOSOIR-TQ77,GOOT SOLDERING IRON TQ-77 200W  240V,ZZ0,PC,0,,0.0000,,0.0000,1,66.00000000,A0010,GRN-1-TBGOSOIR-TQ77----------ST----------0.0000
TBMTD-45,SKC BUTTON DIE & TYPE AND OK TYPE TAP & DIE SETS  (MODEL : S89-53-OK45),ZZ0,SET,0,,0.0000,,0.0000,1,341.30000000,A0010,GRN-1-TBMTD-45----------ST----------0.0000
TBSCDR-P,SCREW DRIVER – PHILIP,ZZ0,PC,0,,0.0000,,0.0000,1,9.00000000,A0010,GRN-1-TBSCDR-P----------ST----------0.0000
TBSPLEVEL-15-24,"NITOYO SPIRIT LEVEL 15-24""",ZZ0,PC,0,,0.0000,,0.0000,1,2.00000000,A0010,GRN-1-TBSPLEVEL-15-24----------ST----------0.0000
