code,country,name,phone,uen,account_manager,remark,credit_term,credit_limit,poc_first_name,poc_phone,poc_email,poc_title,address_address,address_unit_no,address_building_name,address_postal_code,address_phone
A0048,SINGAPORE,ASM AUTOMOTIVE SERVICES PTE LTD,6338 7288,,,,NET DUE,,MS JACLYN,9236 8218,,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0049,SINGAPORE,AMPWAY INDUSTRIES PTE LTD,6338 7288,199504777n,,,NET 30,,MS JACLYN,9236 8218,,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0050,SINGAPORE,AH KENG MOTOR REPAIRER,6338 7288,3108910/00E,,,NET 7,,MS JACLYN,9236 8218,,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0051,SINGAPORE,AEROHUB PEST CONTROL & CLEANING PTE LTD,6338 7288,,,,NET 30,,MS JACLYN,9236 8218,,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0052,SINGAPORE,ALL MEASURE TECHNOLOGY (S) PTE LTD,6338 7288,201313531D,,,NET 30,,MARK ONG KOONYEW ,,,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0053,SINGAPORE,AEJ INNOVATION PTE LTD,6338 7288,201206205M,,,NET 30,,ADELINE CHIN,9017 8998 ,,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0054,SINGAPORE,ACE-WELD PTE LTD,6338 7288,20090004N,,,NET DUE,,CHRISTINA SUN,,christinasun@ace-weld.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0055,SINGAPORE,ABLE H & P (S) PTE LTD,6338 7288,200102525g,,,NET 30,,Mr. Tang / Arloy,6558 7788,ablesin@singnet.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0056,SINGAPORE,ASTRATA GROUP PTE LTD,6338 7288,201303562N,,,NET 30,,JO-ANN SHANTI RAJAMANIKAM,9336 6033 / 63388133,jshanti@astratagroup.com,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0057,SINGAPORE,ACCESS ELECTRICAL PTE LTD,6338 7288,200714123Z,,,NET 30,,THOMAS LEE,96301440,access66@singnet.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0058,SINGAPORE,A'CREATIVE PLUMBING & ENGRG (S) PTE LTD,6338 7288,199803084G,,,NET 30,,THOMAS LEE,96301440,access66@singnet.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0059,SINGAPORE,ANDA INTERNATIONAL PTE. LTD.,6338 7288,198000611H,,,NET DUE,,THOMAS LEE,96301440,access66@singnet.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0060,SINGAPORE,ALFRED FORKLIFT SERVICES,6338 7288,53186451X,,,NET 30,,MR ANG,9850 7060,alfredang_kfl@yahoo.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0061,SINGAPORE,AREES WATER PTE LTD,6338 7288,200602375Z,,,NET 30,,MR ANG,9850 7060,alfredang_kfl@yahoo.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0062,SINGAPORE,AMERICAN INTERNATIONAL INDUSTRIES PTE LTD,6338 7288,196600149M,,,NET 30,,DARREN CHEW,96588777,DARREN.CHEW@AIIGROUP.COM,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0063,SINGAPORE,AUTOLIFT S.R.L.,6338 7288,,,,NET DUE,,GABRIELE OVI,+390376550375,ovi@autoliftsrl.com,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
B0001,SINGAPORE,BANLY SPARE PARTS (PTE) LTD,6264 2330/6261 6059 (AC),197701766W,,,NET 30,,Ms Lau / MR TEE ,6264 2330,,,"5 PIONEER ROAD NORTH
#01 - 31
SINGAPORE 628458
",31,,628458,6264 2330/6261 6059 (AC)
B0002,SINGAPORE,CONTROLS & ELECTRICS PTE LTD,861 3377,199805363G,,,NET 30,,Ms Lau / MR TEE ,6264 2330,,,"30 GUL DRIVE , JURONG TOWN
SINGAPORE 629478",,,629478,861 3377
B0003,KOREA,"BOA TRADING CO., LTD.",82-51-303-67213,,,,NET 30,,Ms Lau / MR TEE ,6264 2330,,,"SAMRAK-DONG, SASANG-KU, 
PUSAN 
KOREA ", ,,,82-51-303-67213
B0004,SINGAPORE,BORNEO MOTORS PTE LTD,6631 1818,195800179M,,,NET 30,,Ms Lau / MR TEE ,6264 2330,,,"2 PANDAN CRESCENT
SINGAPORE 128462
",,,128462,6631 1818
B0005,SINGAPORE,BANLEE PRINTING & TRADING SERVICES,7481401,26174700B,,,NET 30,,Ms Lau / MR TEE ,6264 2330,,,"1057 EUNOS AVE 3
# 04 - 93
SINGAPORE 409848",93,,409848,7481401
B0006,AUSTRALIA,BAXTERS PTY. LTD.,03-9729-0044,,,,NET 30,,Ms Lau / MR TEE ,6264 2330,,,"961 MOUNTAIN HWY.
BORONIA 
AUSTRALIA 3155",,,3155,03-9729-0044
B0007,AUSTRALIA,BRYLCHEM PTE LTD,03-9729-0044,46637500W,,,NET 30,,CHONG CHING YANG ,9782 3322,chingyang.chiong@brylchem.com.sg,,"961 MOUNTAIN HWY.
BORONIA 
AUSTRALIA 3155",,,3155,03-9729-0044
B0008,SINGAPORE,BESTOFIRE & THERMAL PTE LTD,8614440,198903115C,,,NET 30,,CHONG CHING YANG ,9782 3322,chingyang.chiong@brylchem.com.sg,,"28 TUAS AVE 4
SINGAPORE 639378",,,639378,8614440
B0009,SINGAPORE,BOCK ASIA PTE LTD,6861 5554,199707879G,,,NET 30,,MR WONG C.K,6861 5554,sales@bockasia.com.sg,,"10 TOH GUAN ROAD  ,   
#03 - 03
SINGAPORE 608838
",03,,608838,6861 5554
B0010,SINGAPORE,BONAVENTURE 86 PTE LTD,6365 5395,199300067G,,,NET 30,,Oh Ban Wah,63655395,enquiry@bonadventure.com.sg  / oh@bonadventure.com.sg,,"48 TOH GUAN ROAD EAST , ENTERPRISE HUB
#07 - 125
SINGAPORE 608586
",125,,608586,6365 5395
B0011,SINGAPORE,BITUBULK PTE LTD,6515 1223/1311,200201466C,,,NET 30,,STEPHEN TAN   H/P: 9137 6663,6515 1223 / 6515 1311,np_tan@ptclogistics.com,,"48 PANDAN ROAD
SINGAPORE 609289
",,,609289,6515 1223/1311
B0012,SINGAPORE,BRIDEX SINGAPORE PTE LTD,6756 0833,197802201N,,,NET 30,,STEPHEN TAN   H/P: 9137 6663,6515 1223 / 6515 1311,np_tan@ptclogistics.com,,"47 YISHUN INDUSTRIAL PARK A
SINGAPORE 768724",,,768724,6756 0833
B0013,SINGAPORE,BAN SOON CHEONG PTE LTD,6842 6300,200403130N,,,NET 30,,STEPHEN TAN   H/P: 9137 6663,6515 1223 / 6515 1311,np_tan@ptclogistics.com,,"217 UBI AVE 4, INTREPID WAREHOUSE COMPLEX
SINGAPORE 408810",,,408810,6842 6300
B0014,SINGAPORE,LOGWIN AIR + OCEAN SINGAPORE PTE LTD,6586 7373,197300716D,,,NET 30,,STEPHEN TAN   H/P: 9137 6663,6515 1223 / 6515 1311,np_tan@ptclogistics.com,,"2 CLEMENTI LOOP
# 01 - 01
SINGAPORE 129809",01,,129809,6586 7373
B0015,SINGAPORE,BOON LAY TECHNICAL SUPPLIES,6265 8866,22127400J,,,NET 30,,STEPHEN TAN   H/P: 9137 6663,6515 1223 / 6515 1311,np_tan@ptclogistics.com,,"1 PIONEER ROAD NORTH
# 01
SINGAPORE ",,,,6265 8866
B0016,SINGAPORE,BOSTIK FINDLEY ( M ) SDN BHD ( SINGAPORE BRANCH ),64199199,198905108N,,,NET 30,,MR RON CHAN    H/P: 9675 2272,64199199,Ron.CHAN@bostik.com.sg,," 1 SCIENCE PARK ROAD, THE CAPRICON, SINGAPOR SCIENCE PARK II
#04 - 01/05
SINGAPORE 117528
",01/05,,117528,64199199
B0017,SINGAPORE,BSE ELECTRICAL SUPPLIES PTE LTD,,199801036M,,,NET 30,,MR RON CHAN    H/P: 9675 2272,64199199,Ron.CHAN@bostik.com.sg,,"5 PIONEER ROAD NORTH
# 01 - 27
SINGAPORE 628458",27,,628458,
B0018,SINGAPORE,BESERV TRADING & ENGINEERING,6266 4767,52868122B,,,NET 30,,MS IRENE NG   H/P: 9822 1185,6266 4767,ngleepeng@pacific.net.sg,,"8 LINK ROAD
SINGAPORE 619030
",,,619030,6266 4767
B0019,SINGAPORE,BIZPAL SERVICES,9139 8123,53086357W,,,NET 30,,MS IRENE NG   H/P: 9822 1185,6266 4767,ngleepeng@pacific.net.sg,,"322 ANG MO KIO AVE 3
# 09 - 1934
SINGAPORE 560322",1934,,560322,9139 8123
B0020,SINGAPORE,BERGER PAINTS SINGAPORE PTE LTD,6261 5224,193900021Z,,,NET 30,,Jessie Yew,HP.90666659,jessie.yew@bergeronline.com.sg,,"22 BENOI SECTOR ,
SINGAPORE 629854
",,,629854,6261 5224
B0021,SINGAPORE,BAN CHU LEONG TECHNOLOGIES PTE LTD,6745 5437,201001609E,,,NET 30,,Ms Akimy,67455437,sales@banchuleong.com.sg,,"5 JALAN LEMBAH KALLANG
SINGAPORE 339561
",,,339561,6745 5437
B0022,SINGAPORE,B & LEE ELECTRONICS PTE LTD,6288 2725,197903854W,,,NET 30,,CHRIS LIEW   H/P: 9710 4168,6292 7369,chris@blee.com.sg,,"15 LITTLE ROAD
#03 - 01/02
SINGAPORE 536988
",01/02,,536988,6288 2725
B0023,SINGAPORE,BLACK & DECKER ASIA PACIFIC PTE LTD,6747 1711,197000595N,,,NET 30,,CHRIS LIEW   H/P: 9710 4168,6292 7369,chris@blee.com.sg,,"20 TOH GUAN ROAD ,    
# 05 - 00
CJ GLS BUILDING  
SINGAPORE 608839",00,,608839,6747 1711
B0024,SINGAPORE,BANSBACH EASYLIFT ASIA PTE LTD,+65 65628730,200009682R,,,NET 30,,CHRIS LIEW   H/P: 9710 4168,6292 7369,chris@blee.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0025,SINGAPORE,BLUEWAVE COMMUNICATION PTE LTD,+65 65628730,,,,NET DUE,,CHRIS LIEW   H/P: 9710 4168,6292 7369,chris@blee.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0026,SINGAPORE,BENG HUI MARINE ELECTRICAL PTE LTD,+65 65628730,,,,NET 30,,Mr. Sam Neo ,62914444,sam@bhglobal.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0027,SINGAPORE,BUSCH VACUUM SINGAPORE PTE LTD,+65 65628730,,,,NET DUE,,Mr Tan Hock Yong ,6488 0866,tan.hy@busch.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0028,SINGAPORE,BOK SING HARDWARE PAINTS PTE LTD,+65 65628730,,,,NET 30,,MR T.J ,65609670,sales@bokseng.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0029,SINGAPORE,BIZGRAM ASIA PTE LTD,+65 65628730,2009035472,,,NET DUE,,VINOTH,5334 1373,sales@BIZGRAM.COM,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0030,SINGAPORE,BUS-AIR MFG,+65 65628730,,,,NET DUE,,BOBBY WOODS,+817-771-5793,,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0031,SINGAPORE,B.A.U.S.AT SP.Z O. O.,+65 65628730,,,,NET DUE,,MARCUS NAGUSZEWSKI,+48 728 891 442,m.naguszewski@baus-at.com,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0032,SINGAPORE,BP STEEL PTE LTD,+65 65628730,201436471HY,,,NET 30,,DEXTER FONG,64659959 / HP: 9696 5797 ,dexter@bpsteel.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0033,SINGAPORE,BALLUFF ASIA PTE LTD,+65 65628730,199204265R,,,NET DUE,,SHAELYN LEW,6252 4384,shaelyn.lew@balluff.com.sg,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0034,SINGAPORE,BOILER & BURNER ENG P/L,+65 65628730,199901641C,,,NET DUE,,B.S. CHUNG,96730565,sales@boiler-burner.com,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0035,SINGAPORE,BONA FAR EAST & PACIFIC PTE LTD,+65 65628730,200009716E,,,NET DUE,,YUMEI PIAO,84597680,Yumei.Piao@bona.com,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0036,SINGAPORE,BEST MARINE ELECTRICAL,+65 65628730,28443700W,,,NET 30,,NEO POH HUAT,9679 1304,BME17@SINGNET.COM.SG,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
B0037,SINGAPORE,BOXFRESH PTE LTD,+65 65628730,200701408E,,,NET 7,,NEO POH HUAT,9679 1304,BME17@SINGNET.COM.SG,,"25 INTERNATIONAL BUSINESS PARK .    
# 04 - 63
GERMAN CENTRE  
SINGAPORE 609916",63,,609916,+65 65628730
C0001,SINGAPORE,CHEE BENG TRANSPORTATION SERVICE,6221 3619,33368900C,,,NET 30,,NEO POH HUAT,9679 1304,BME17@SINGNET.COM.SG,,"1 TANJONG PAGAR PLAZA,   
# 02 - 25
OFF TANJONG PAGAR ROAD,   
SINGAPORE 082001",25,,082001,6221 3619
C0002,SINGAPORE,CHINESE GARDEN ELECTRIC & ELECTRONIC ENT. PTE LTD,2643288,198800656D,,,NET 30,,NEO POH HUAT,9679 1304,BME17@SINGNET.COM.SG,,"21 PIONEER ROAD NORTH
# 01 - 104
SINGAPORE 628467",104,,628467,2643288
C0003,JAPAN,CENTRAL AUTOMOTIVE PRODUCTS LTD,,,,,NET 30,,NEO POH HUAT,9679 1304,BME17@SINGNET.COM.SG,," 4-CHOM, NAKANOSHIMA, KITA-KU
OSAKA
JAPAN 530", ,,530,
