code,origin_store_id,destination_store_id,product_id_in,adjustment_in,type_in,product_id_out,adjustment_out,type_out,reason_in
4296,ST,TL,ACA222B023,12,OPENING,ACA222B023,-2,Item Transfer,REFER TO VEC NO:YJ3884-HJ-2055-TAKEN BY RAJA
2721,ST,TL,ACA222B023,12,OPENING,ACA222B023,-2,Item Transfer,refer to vec no: OVERHAUL-HJ-855-TAKEN BY RAJA
5242,ST,TL,ACA222B023,12,OPENING,ACA222B023,-2,Item Adjustment,REFER TO TRANSFER NO:5230
345,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Transfer,REFER TO VEC NO:YL3778..YM1814
4447,ST,TL,ACA272C008,58,OPENING,ACA272C008,-3,Item Adjustment,REFER TO VEC NO:YL1277-HJ-2171-TAKEN BY RAJA
4455,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Adjustment,REFER TO VEC NO:YL2925-HJ-2091-TAKEN BY AH KENG
4489,TL,ST,ACA272C008,58,OPENING,ACA272C008,-2,Item Adjustment,AS PER REQUEST BY DORIS YAO -REFER TO QUA NO:59737
4491,TL,ST,ACA272C008,58,OPENING,ACA272C008,-1,Item Adjustment,FOR HWEE JAN INVOICE ITEM SOLD 1186-BLK-42 NOT 43
314,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Transfer,REFER TO VEC NO:YL6444...XD4486
4458,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Adjustment,REFER TO VEC NO:YK413-HJ-2177-TAKEN BY RAJA
4482,ST,TL,ACA272C008,58,OPENING,ACA272C008,-2,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-4 SETS
4495,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Adjustment,REFER TO VEC NO:YM9594-HJ-2192-TAKEN BY RAJA
4428,ST,TL,ACA272C008,58,OPENING,ACA272C008,-2,Item Adjustment,REFER TO VEC NO:GBB8411-HJ-2163-TAKEN BY RAJA
187,ST,WD,ACA272C008,58,OPENING,ACA272C008,-3,Item Transfer,ISUUE TO NORTHLINK
4475,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Adjustment,REFER TO VEC NO:gq5626-HJ-2184-TAKEN BY RAJAN
4499,ST,TL,ACA272C008,58,OPENING,ACA272C008,-1,Item Adjustment,REFER TO VEC NO:YJ9530-HJ-2198-TAKEN BY RAJA
4415,ST,TL,ACA272C008,58,OPENING,ACA272C008,-2,Item Adjustment,REFER TO VEC NO:YL6412-HJ-2155-TAKEN BY RAJA
38,ST,WD,ACA272C008,58,OPENING,ACA272C008,-3,Item Transfer,ISSUE TO NORTHLINK
1807,ST,TL,ACA272C053,39,OPENING,ACA272C053,-1,Item Transfer,REFER TO VEC NO:YJ7536-HJ-309-TAKEN BY RAJA
4681,ST,WD,ACA272C053,39,OPENING,ACA272C053,-1,Item Transfer,issue to northlink on 13/01/15
3342,ST,TL,ACA272C053,39,OPENING,ACA272C053,-1,Item Transfer,REFER TO VEC NO:YL6072-HJ-1371-TAKEN BY AH NIU
3949,ST,WD,ACA272C053,39,OPENING,ACA272C053,-2,Item Transfer,ISSUE TO NORTHLINK ON 03/10/13
5578,ST,TL,ACA272C054,67,OPENING,ACA272C054,-1,Item Adjustment,ISSUE  TO EDWIN-E2-A415ES24FG -5 SET ON 29/08/2019 REFER TRANSFER :5577 STOCK YET ARRIVE
5604,ST,TL,ACA272C054,67,OPENING,ACA272C054,-1,Item Adjustment,ISSUE TO EDWIN-E2-C415ES24FG - 1SET- 25/02/2020
5629,TL,ST,ACA272C054,67,OPENING,ACA272C054,-2,Item Adjustment,"AS PERREQUEST BY ECHO:(Please transfer the following Vikan items from TL to ST. The items have been sold. Gerald will go to store to receive them in ERP later.  Item ID: 30693, 30694, 29365 & 70773 Quantity: each 1 pc )"
5666,TL,ST,ACA272C054,67,OPENING,ACA272C054,-2,Item Adjustment,REFER TO ASSEMBLY NO:50418-E2-1415ES12FG-5SET-PAYMENT MARCH 2021
2012,ST,WD,ACA272C054,67,OPENING,ACA272C054,-2,Item Transfer,ISSUE TO NORTHLINK ON 12/10/12
467,ST,TL,ACA272C054,67,OPENING,ACA272C054,-1,Item Transfer,REFER TO VEC NO:YL6639
5664,ST,TL,ACA272C054,67,OPENING,ACA272C054,-2,Item Adjustment,ISSUE TO EDWIN E2A2415ES24FG-5 SETS- 19/04/2021(PENDING- E1-SKD62-08-5 PCS)
5765,TL,ST,ACA272C054,67,OPENING,ACA272C054,-2,Item Adjustment,DEFECT PARTS SEND BACK POLAND TO CHECK ON 01/08/2023 REPLACEMENT PARTS SEND BACK ON 12/10/2023
4836,ST,WD,ACA272C054,67,OPENING,ACA272C054,-1,Item Transfer,ISSUE TO NORTHLINK ON 15/10/15
531,ST,TL,018-6857,10,OPENING,018-6857,-2,Item Transfer,REFER TO VEC NO:YL2994..YM431..YN1928
4434,ST,TL,020814394B,10,OPENING,020814394B,-4,Item Adjustment,REFER TO VEC NO:YM7086-HJ-2132-TAKEN BY RAJA
4134,ST,TL,38623737,56,OPENING,38623737,-3,Item Adjustment,REFER TO VEC NO:YM 5329-HJ-1926-TAKEN BY AH KUNG
4263,ST,TL,38623737,56,OPENING,38623737,-2,Item Adjustment,REFER TO VEC NO:YM311-HJ-2033-TAKEN BY RAJA
4278,ST,TL,38623737,56,OPENING,38623737,-2,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-5 SETS
2421,ST,TL,600,4,OPENING,600,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
504,ST,TL,610,8,OPENING,610,-2,Item Transfer,ISUE TO MRU...P/O NO:2993
4320,ST,TL,71922483,4,OPENING,71922483,-4,Item Adjustment,Refer to Vec No: YM7173-HJ2071-Taken By Raja
4474,ST,TL,71922483,9,OPENING,71922483,-1,Item Adjustment,REFER TO VEC NO:gz6816-HJ-2183-TAKEN BY RAJAN
4278,ST,TL,111700,30,OPENING,111700,-19,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-5 SETS
4612,ST,WD,127101,10,OPENING,127101,-10,Item Adjustment,ISSUE TO NORTHLINK ON 04/09/14
4278,ST,TL,204600,118,OPENING,204600,-2,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-5 SETS
741,ST,TL,29144,9,OPENING,29144,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
169,ST,TL,30696,17,OPENING,30696,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
465,ST,TL,30696,17,OPENING,30696,-5,Item Transfer,STOCK ISSUE TO MRU..REFER TO P/O NO:2981..2973
2325,ST,TL,30A1900010,20,OPENING,30A1900010,-3,Item Transfer,REFER TO VEC NO: YL6490HJ-617-TAKEN BY AH NIU
3381,ST,TL,30A1900010,20,OPENING,30A1900010,-3,Item Transfer,REFER TO VEC NO:YJ7287--HJ-1411-TAKEN BY RAJA
3248,ST,TL,30A1900010,20,OPENING,30A1900010,-3,Item Transfer,REFER TO VEC NO:YM5203-HJ-1309-TAKEN BY JOHNSON
3343,ST,TL,30L4505101,5,OPENING,30L4505101,-1,Item Transfer,REFER TO VEC NO:XB7675-HJ-1372-TAKEN BY AH KENG
3343,ST,TL,30L9401010,1,OPENING,30L9401010,-1,Item Transfer,REFER TO VEC NO:XB7675-HJ-1372-TAKEN BY AH KENG
4908,ST,WD,3110-4,13,OPENING,3110-4,-1,Item Adjustment,ISSSUE TO NORTHLINK ON 11/01/2016
739,ST,TL,31793,3,OPENING,31793,-1,Item Transfer,FOR MRU SELF COLLECTION FOR PO3021
741,ST,TL,31794,2,OPENING,31794,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
62,ST,TL,31A0420200,8,OPENING,31A0420200,-2,Item Transfer,OVERHAUL ENGINE PARTS
128,ST,TL,31A0420200,8,OPENING,31A0420200,-3,Item Transfer,REFER TO VEC NO:YL5835..YL431
1198,ST,TL,31B87-10020,2,OPENING,31B87-10020,-1,Item Transfer,REFER TO VEC NO:YM5203
5485,ST,TL,37305,5,OPENING,37305,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
169,ST,TL,38835,7,OPENING,38835,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
169,ST,TL,38876,5,OPENING,38876,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
169,ST,TL,38885,4,OPENING,38885,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
5486,ST,TL,38933,3,OPENING,38933,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
480,ST,TL,40506,2,OPENING,40506,-2,Item Transfer,ISSUE TO MRU...REFER P/O :2991
537,ST,TL,41832,3,OPENING,41832,-1,Item Transfer,ISSUE TO MRU..
456,ST,TL,41854,6,OPENING,41854,-5,Item Transfer,FOR MRU ORDER DELIVERY ON 24/02/2012
169,ST,TL,45515,15,OPENING,45515,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
480,ST,TL,45515,15,OPENING,45515,-1,Item Transfer,ISSUE TO MRU...REFER P/O :2991
5486,ST,TL,45585,6,OPENING,45585,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
2421,ST,TL,5380504,16,OPENING,5380504,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
4677,ST,WD,54-BLACK-SIZE38,1,OPENING,54-BLACK-SIZE38,-1,Item Adjustment,ISSUE TO NORTHLINK ON 02/01/15
5611,ST,GB,ACA272C054,67,OPENING,ACA272C054,-1,Item Adjustment,THIS STOCK QTY RESERVE FOR SERVICE DEPT AS LONG LEADTIME NEEDED. 04/03/2020 AS PER REQUEST BY DENNIS
4765,ST,WD,ACA272C054,67,OPENING,ACA272C054,-1,Item Transfer,ISSUE TO NORTHLINK ON 23/06/15
4886,ST,WD,ACA272C054,67,OPENING,ACA272C054,-2,Item Transfer,ISSUE TO NORTHLINK ON 14/12/15
5559,WD,ST,ACA272C054,67,OPENING,ACA272C054,-3,Item Adjustment,TRANFER ALL STOCK FROM WD TO ST..DUE TO ALL TAKE BACK FROM NORTHLINK ON 15/04/19
4207,ST,TL,ACA272C054,67,OPENING,ACA272C054,-2,Item Adjustment,Refer to vehicle no. : YL2251-HJ 1990 taken by Rajan
4690,ST,WD,ACA272C054,67,OPENING,ACA272C054,-2,Item Transfer,issue to northlink on 29/01/15
5774,ST,TL,ACA272C054,67,OPENING,ACA272C054,-3,Item Adjustment,PRODUCTION RETURN 1PC C2-221 QUALITY ISSUE LIGHT TO STORE WILL SEND BACK TO SUPPLIER AT TAIWAN TO VERIFTY.
5626,TL,ST,ACA272C054,67,OPENING,ACA272C054,-2,Item Adjustment,Please transfer vikan item 29373 from TL to ST. Got customer wants to buy it.  AS PER REQUST BT ECHO
5646,TL,ST,ACA272C054,67,OPENING,ACA272C054,-4,Item Adjustment,AS PER REQUEST BY ECHO EMAIL ITEM SOLD ON 28/10/2020
4611,TL,ST,ACA272C054,4,OPENING,ACA272C054,-2,Item Adjustment,TAKE BACK FROM FARHAN--LAST TIME  ISSUE UNDER WARRANTY TO PRODUCTION...SETTING PROBLEM
4611,TL,ST,ACA272C064,1,OPENING,ACA272C064,-1,Item Adjustment,TAKE BACK FROM FARHAN--LAST TIME  ISSUE UNDER WARRANTY TO PRODUCTION...SETTING PROBLEM
410,WD,ST,ACA932C001A,2,OPENING,ACA932C001A,-2,Item Transfer,STOCK RETURN TO STORE
3930,ST,TL,ACA932C030,23,OPENING,ACA932C030,-1,Item Transfer,REFER TO VEC NO:OVERHAUL-HJ-1786-TAKEN BY RAJA
4405,ST,TL,ACA932C030,23,OPENING,ACA932C030,-1,Item Transfer,REFER TO VEC NO:YK2689-HJ-2145-TAKEN BY RAJA
5257,WD,ST,B2A23,3,OPENING,B2A23,-3,Item Transfer,NON MOVEMENT  STOCK..RETURN TO STORE FROM NORTHLINK
4265,TL,ST,B2A23.5,1,OPENING,B2A23.5,-1,Item Adjustment,REFER TO ASSEMBLY NO:50129-E2-B415ES24FG-1SET
7,KB,ST,B2A24.5,2,OPENING,B2A24.5,-2,Item Transfer,
412,WD,ST,B2A37,7,OPENING,B2A37,-5,Item Transfer,STOCK RETURN TO STORE
5257,WD,ST,B2A37,7,OPENING,B2A37,-2,Item Transfer,NON MOVEMENT  STOCK..RETURN TO STORE FROM NORTHLINK
255,ST,TL,B2A44,5,OPENING,B2A44,-2,Item Transfer,SVS DEPT VEH NO:PA8563
108,ST,TL,B2A44,5,OPENING,B2A44,-1,Item Transfer,REFER TO VEC NO:GW8321
4610,ST,WD,B2A44.5,8,OPENING,B2A44.5,-2,Item Adjustment,ISSUE TO NORTHLINK ON 26/08/14
5596,ST,TL,B2A44.5,8,OPENING,B2A44.5,-1,Item Adjustment,ISSUE TO EDWIN-E2-B415ES24FG -2 SETS ON 09/01/2020 REFER TO :5595
4319,TL,ST,B2A45.5,3,OPENING,B2A45.5,-3,Item Adjustment,REFER TO VEC NO:GW7284-HJ-2041-TAKEN BY RAJA-RETURN TO STORE-ALREADY INV UNDER ST
7,KB,ST,B2A47,4,OPENING,B2A47,-4,Item Transfer,
1152,ST,TL,B2A50,3,Goods Receipt,B2A50,-1,Goods Return,REFER TO VEC NO:GBA5919
14,KB,ST,B2A55,3,OPENING,B2A55,-1,Item Transfer,
4319,TL,ST,B2A55,3,OPENING,B2A55,-2,Item Adjustment,REFER TO VEC NO:GW7284-HJ-2041-TAKEN BY RAJA-RETURN TO STORE-ALREADY INV UNDER ST
8,KB,ST,B2A61,2,OPENING,B2A61,-2,Item Transfer,
412,WD,ST,B2A63,6,OPENING,B2A63,-4,Item Transfer,STOCK RETURN TO STORE
5553,WD,ST,B2A63,6,OPENING,B2A63,-2,Item Transfer,TRANFER ALL STOCK FROM WD TO ST..DUE TO ALL TAKE BACK FROM NORTHLINK ON 15/04/19
8,KB,ST,B2B30,3,OPENING,B2B30,-3,Item Transfer,
275,ST,TL,B2B32,5,OPENING,B2B32,-1,Item Transfer,"REFER TO VEC NO::YL6067,,YJ9327..GX4554"
1613,ST,TL,B2B32,5,OPENING,B2B32,-1,Item Transfer,REFER TO VEC NO:YJ9327-HJ-173
782,ST,TL,B2B32,5,OPENING,B2B32,-1,Item Transfer,REFER TO VEC NO:YJ9327
4481,ST,WD,B2B32,5,OPENING,B2B32,-1,Item Adjustment,ISSUE TO NORTHLINK ON 14/04/14- SELF COLLECTION
2192,ST,TL,B2B32,5,OPENING,B2B32,-1,Item Transfer,REFER TO VEC NO:YJ9327-HJ-575-TAEKN BY RAJA
743,ST,TL,55002,4,OPENING,55002,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
796,ST,TL,55002,4,OPENING,55002,-3,Item Transfer,ISSUE TO MRU UNDER P/O NO:3019
743,ST,TL,55005,3,OPENING,55005,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
743,ST,TL,55103,5,OPENING,55103,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
742,ST,TL,55104,7,OPENING,55104,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
739,ST,TL,56113,1,OPENING,56113,-1,Item Transfer,FOR MRU SELF COLLECTION FOR PO3021
743,ST,TL,56603,7,OPENING,56603,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
743,ST,TL,56771,8,OPENING,56771,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
2421,ST,TL,56802,7,OPENING,56802,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
2421,ST,TL,56804,4,OPENING,56804,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
4612,ST,WD,60091S,28,OPENING,60091S,-16,Item Adjustment,ISSUE TO NORTHLINK ON 04/09/14
4603,ST,TL,6256,1,OPENING,6256,-1,Item Adjustment,ISSUE TO EDWIN-E2-B415ES24FG -2 SETS ON 08/08/2014
5486,ST,TL,631216,9,OPENING,631216,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
4474,ST,TL,6437200,2,OPENING,6437200,-1,Item Adjustment,REFER TO VEC NO:gz6816-HJ-2183-TAKEN BY RAJAN
4320,ST,TL,67960,33,OPENING,67960,-13,Item Adjustment,Refer to Vec No: YM7173-HJ2071-Taken By Raja
169,ST,TL,70405,16,OPENING,70405,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
4357,ST,TL,70615,10,OPENING,70615,-1,Item Adjustment,REFER TO VEC NO:YL4046-HJ-2105-TAKEN BY RAJA
5486,ST,TL,70616,14,OPENING,70616,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
5486,ST,TL,70622,7,OPENING,70622,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
5486,ST,TL,70636,5,OPENING,70636,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
169,ST,TL,70763,8,OPENING,70763,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
5186,ST,WD,70763,8,OPENING,70763,-1,Item Adjustment,ISSUE TO NORTHLINK ON 17/01/17
169,ST,TL,70774,5,OPENING,70774,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
465,ST,TL,70774,5,OPENING,70774,-1,Item Transfer,STOCK ISSUE TO MRU..REFER TO P/O NO:2981..2973
169,ST,TL,70806,13,OPENING,70806,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
4932,ST,TL,77164,2,OPENING,77164,-1,Item Transfer,AS PER REQUEST BY RICKY ...FOR FHA
